,Name,Year,Price,Cl,Country,Category,Region,ID
154,Svenska Eldvatten Glenn Batch 2,Non-Vintage,77.65,50 cl,Scotland,Liquor, Øvrige,1595702
155,Paolo Scavino Barolo Monvigliero 2018,2018,81.99,75 cl,Italy,Red wine, Piemonte,1616501
156,Bruichladdich Islay Barley 2012,2012,104.26,70 cl,Scotland,Liquor, Islay,1638901
157,Maxime Trijol Fins Bois 1970,1970,191.3,70 cl,France,Liquor, Cognac Tradisjonell,1685101
158,Balvenie 14 Caribbean Cask,Non-Vintage,85.13,70 cl,Scotland,Liquor, Speyside,1719101
159,Brillet 10ème Génération Collection Limitée 1990,1990,86.08,50 cl,France,Liquor, Cognac Brut,1736802
160,Compass Box Spice Tree,Non-Vintage,79.13,70 cl,Scotland,Liquor, Øvrige,1697901
161,Albino Armani Prosecco,Non-Vintage,76.51,300 cl,Italy,Sparkling wine, Prosecco,1781007
162,A. H. Riise XO Christmas Rum Limited Edition,Non-Vintage,69.56,70 cl,US Virgin Islands,Liquor, Øvrige,1793501
163,Haldenkanalen Cognac XO 10 års Jubileum,Non-Vintage,95.65,70 cl,France,Liquor, Cognac Tradisjonell,1815601
164,Montecillo Gran Reserva Selección Especial 2001,2001,213.47,150 cl,Spain,Red wine, Rioja,1816505
165,Montecillo Gran Reserva Selección Especial 2001,2001,113.03,75 cl,Spain,Red wine, Rioja,1816501
166,Niepoort Tawny 30 Years Old,Non-Vintage,113.03,75 cl,Portugal,Port wine, Douro e Porto,1835201
167,Dom. de Chevalier Grand Cru Classé de Graves Blanc 2012,2012,173.9,150 cl,France,White wine, Bordeaux,1815205
168,Akashi Single Malt,Non-Vintage,82.78,50 cl,Japan,Liquor, Øvrige,1818402
169,Dupont Calvados Pays d'Auge 1980,1980,163.47,70 cl,France,Liquor, Calvados,1862901
170,Cono Sur Silencio Cabernet Sauvignon 2015,2015,113.03,75 cl,Chile,Red wine, Valle Central,1793001
171,Ch. Pontet-Canet 2010,2010,327.83,75 cl,France,Red wine, Bordeaux,2068301
172,Armorik Double Maturation Breton Single Malt Whisky,Non-Vintage,69.48,70 cl,France,Liquor, Øvrige,2160801
173,Marq. de Murrieta Dalmau 2017,2017,78.25,75 cl,Spain,Red wine, Rioja,2202101
174,Riveyrac Rivesaltes 1965,1965,121.57,75 cl,France,Port wine, Roussillon,2241701
175,Lanson Le Black Label Brut,Non-Vintage,86.09,150 cl,France,Sparkling wine, Champagne,89105
176,Moët & Chandon Impérial Brut,Non-Vintage,333.9,300 cl,France,Sparkling wine, Champagne,89507
