,user,red_wine,white_wine,sparkling_wine,rose_wine,content
135,lemontsumu,1,0,0,0,@pippinn_art Beautiful!!! 😍 The outfits and red wine are so sexy!
136,BigDaveMc72,1,0,0,0,@KingBobIIV France would cry into it's crappy red wine about how unfair we are being to poor Johnny immigrant as they still load them into those brand new dingys on the French side.  Notice how not once has anyone been arrested for stealing said boats and returned to France for punishment??
137,MaffeiKitchen,0,0,0,0,"📌That one place where you will find happiness and joy is coming soon. stay tuned

🥘Maffei comes from two unique galaxies visible only in red and infrared light, making them extremely rare. 
.
#maffeikitchen #banglore #chef #foodblogger #cafe #love #hotel #foodies #tasty #wine https://t.co/FKIXo5llkO"
138,DcJay20,1,0,0,0,@KushRozzay And red wine 🍷💨
139,_twittwoo_owl_,1,0,0,0,4p of red wine vinegar? YOU STILL HABE TO BUY THE WHOLE BOTTLE
140,furrycow,1,0,0,0,@alicenut1 @lamarr_mark My friend got to meet Phil Collins at his house as a competition when he was young. His mum spilt red wine on his rug. Apparently Phil was very nice about it
141,dapotter42,0,0,0,0,"@TaiwanNews886 ""A few glasses of red wine"". BAC 0.12% more like a few cases. 😒"
142,CliveWGranville,1,0,0,0,"@JoeOB0216 @coffeefirst25 @restrictedadult @murly1257 @GodlessLiz 2/ You are at a wedding table. With a backhand flourish you knock your half-full red wine glass upwards &amp; over towards to the ladies on the other side of the table.
In the same movement, you lean forward, catch the glass &amp; scoop up all the wine that is spilling out. No drops."
143,marketstoremall,0,0,0,0,"12% Off Coupon at checkout
VYNES Custom Car Floor mat for Mercedes Benz A B C CLA CLS CLK GLE GLS GLA GLK GL ML G S GLC SL CL SLC R SLK Front Rear Custom Waterproof Car Carpets Cargo(Wine Red Stripe)
https://t.co/raUdcXGiRN 
As an Amazon Associate I earn from qualifying purchases"
144,nathan_oji,2,0,0,0,"@rotimismith1st The weird thing is, say an ounce of alcohol is going to k!ll u, when u take Red wine that maybe contains an ounce of alcohol, whatever is contained in the Red wine that's good for the heart will be working on the heart while you dead."
145,Doohickiesnsuch,0,0,0,0,Etsy listing available in my shop Check out this item in my Etsy shop https://t.co/kO75pz2CFq
146,tjegbeyemi,0,0,0,0,"@AvrilAmaka Proverbs 23:31 Don't gaze at the wine, seeing how red it is, how it sparkles in the cup, how smoothly it goes down.
35 And you will say, ""...When will I wake up so I can look for another drink?"" (NLT) 😏"
147,0isxbxl0,1,0,0,0,"@_fieldmedic you ruined my perception of love. if my future partner doesn’t say he loves my red wine voice or call me a silver ring of moods, what is the point"
148,ColPhilip1,1,0,0,0,"@Ashrides thinking that later, only 10am here, need a sleep soon been up since 6am yesterday then hit the Red Wine AKA Pain-Killer"
149,lukeadebiyi,1,0,0,0,Mine and @ealishhc’s Christmas motto is too explicit for social media. All I can say is it involves red wine.
150,CorkBilly,0,0,0,0,Recommended Red Wines. Just what the doctors ordered in Faugères and fireworks from Italy’s Alba. @64_Wine @LeCaveau1 @bradleys_offlic @colmmccan @GreenManWines1 @lecaveau2   https://t.co/xnwA2p0Mo3 https://t.co/T4uFb3luaS
